"Topic","Q#","Difficulty","Question","Option A","Option B","Option C","Option D","Correct (1-4)","Correct Answer Text","Explanation"
"psych-schizophrenia","1","easy","Which DSM-5 criterion requires symptoms of schizophrenia to be present for at least how long?","1 month","3 months","6 months","12 months","3","6 months","DSM-5 requires continuous signs for at least 6 months, including at least 1 month of active-phase symptoms."
"psych-schizophrenia","2","medium","A first-episode psychosis patient is started on risperidone. Which adverse effect should be monitored most closely?","QTc prolongation","Extrapyramidal symptoms","Agranulocytosis","Hypothyroidism","2","Extrapyramidal symptoms","Risperidone is a high-EPS-risk antipsychotic due to strong D2 blockade. EPS includes parkinsonism, akathisia, and dystonia."
"psych-schizophrenia","3","easy","Clozapine requires mandatory CBC monitoring because of the risk of:","Thrombocytopenia","Agranulocytosis","Aplastic anemia","Hemolytic anemia","2","Agranulocytosis","Clozapine carries a 1–2% risk of agranulocytosis. Weekly CBC for 6 months, then bi-weekly, then monthly is mandatory."
"psych-schizophrenia","4","easy","Which symptom is considered a ""positive"" symptom of schizophrenia?","Flat affect","Alogia","Auditory hallucinations","Avolition","3","Auditory hallucinations","Positive symptoms reflect an excess or distortion of normal function: hallucinations, delusions, disorganised speech, catatonia."
"psych-schizophrenia","5","medium","Neuroleptic malignant syndrome (NMS) is characterised by which tetrad?","Fever, rigidity, altered consciousness, autonomic instability","Tremor, bradykinesia, rigidity, postural instability","Hyperthermia, muscle rigidity, agitation, hypotension","Fever, diarrhoea, flushing, bronchospasm","1","Fever, rigidity, altered consciousness, autonomic instability","NMS presents with hyperthermia, lead-pipe rigidity, altered consciousness, and autonomic instability (labile BP, tachycardia, diaphoresis)."
"psych-schizophrenia","6","medium","Which antipsychotic has the LOWEST risk of tardive dyskinesia?","Haloperidol","Fluphenazine","Quetiapine","Chlorpromazine","3","Quetiapine","Quetiapine (atypical) has very low D2 occupancy and low affinity for the striatum, giving it among the lowest TD risk of all antipsychotics."
"psych-schizophrenia","7","easy","Brief psychotic disorder differs from schizophrenia in that symptoms must resolve within:","2 weeks","1 month","3 months","6 months","2","1 month","DSM-5: brief psychotic disorder lasts ≥1 day but <1 month with full return to premorbid functioning."
"psych-schizophrenia","8","medium","A patient on haloperidol presents with sudden-onset neck torticollis and upward gaze deviation. The most appropriate immediate treatment is:","Lorazepam IV","Diphenhydramine IM","Propranolol PO","Dantrolene IV","2","Diphenhydramine IM","Acute dystonic reaction (oculogyric crisis + torticollis) responds rapidly to anticholinergics (benztropine or diphenhydramine)."
"psych-schizophrenia","9","medium","The dopamine hypothesis of schizophrenia primarily implicates which pathway?","Nigrostriatal","Mesolimbic","Mesocortical","Tuberoinfundibular","2","Mesolimbic","Hyperdopaminergic activity in the mesolimbic pathway is thought to underlie positive symptoms of schizophrenia."
"psych-schizophrenia","10","hard","Which finding on history best differentiates schizoaffective disorder from schizophrenia?","Presence of auditory hallucinations","Mood episodes concurrent with psychosis","Mood symptoms present for the majority of the total illness duration","Onset before age 30","3","Mood symptoms present for the majority of the total illness duration","DSM-5 requires that in schizoaffective disorder, mood symptoms are present for the majority of the total illness duration (not just concurrent with psychosis)."
"psych-schizophrenia","11","easy","Metabolic syndrome monitoring is most critical for patients on which antipsychotic?","Aripiprazole","Ziprasidone","Olanzapine","Lurasidone","3","Olanzapine","Olanzapine has the highest metabolic risk among atypicals — weight gain, hyperglycaemia, dyslipidaemia. Aripiprazole and ziprasidone have the lowest."
"psych-schizophrenia","12","hard","Which antipsychotic mechanism best explains its effectiveness for negative symptoms?","Strong D2 antagonism","Serotonin 5-HT2A antagonism combined with partial D2 agonism","Muscarinic blockade","Histamine H1 blockade","2","Serotonin 5-HT2A antagonism combined with partial D2 agonism","5-HT2A antagonism disinhibits dopamine in prefrontal cortex, improving negative and cognitive symptoms. Partial D2 agonism (e.g. aripiprazole) also helps."
"psych-schizophrenia","13","medium","Delusional disorder is distinguished from schizophrenia primarily by:","Absence of hallucinations","Non-bizarre delusions with preserved functioning","Duration less than 6 months","Onset after age 60","2","Non-bizarre delusions with preserved functioning","Delusional disorder features non-bizarre delusions (plausible scenarios), with relatively preserved functioning and no prominent hallucinations, disorganisation, or negative symptoms."
"psych-schizophrenia","14","easy","Long-acting injectable (LAI) antipsychotics are particularly indicated for patients with:","First-episode psychosis with good insight","Non-adherence to oral medication","Severe negative symptoms","Clozapine-resistant schizophrenia","2","Non-adherence to oral medication","LAIs eliminate the need for daily oral dosing and are the evidence-based choice for patients with medication non-adherence."
"psych-schizophrenia","15","easy","Akathisia is best described as:","Involuntary rhythmic movements of the face and tongue","Subjective feeling of restlessness with inability to sit still","Sustained muscle contractions causing twisting movements","Mask-like face with shuffling gait","2","Subjective feeling of restlessness with inability to sit still","Akathisia is a subjective sense of inner restlessness with an urge to move, often manifesting as pacing or fidgeting."
"psych-schizophrenia","16","medium","Schizotypal personality disorder differs from schizophrenia in that it lacks:","Magical thinking","Odd perceptual experiences","Frank psychotic episodes","Social isolation","3","Frank psychotic episodes","Schizotypal PD shares cognitive-perceptual oddities with schizophrenia but does not have frank (sustained) psychotic episodes."
"psych-schizophrenia","17","hard","Which lab abnormality is associated with clozapine-induced myocarditis?","Raised troponin and CRP","Low serum sodium","Raised ammonia","Low serum lithium","1","Raised troponin and CRP","Clozapine-induced myocarditis typically occurs in weeks 1–4 and presents with raised troponin, CRP, and eosinophilia. Requires urgent cessation."
"psych-schizophrenia","18","medium","The PANSS scale is used to measure:","Cognitive function in dementia","Severity of positive and negative symptoms in schizophrenia","Depressive symptom severity","Side-effect burden of antipsychotics","2","Severity of positive and negative symptoms in schizophrenia","The Positive and Negative Syndrome Scale (PANSS) is the gold-standard rating tool for schizophrenia symptom severity in clinical trials."
"psych-schizophrenia","19","easy","Which antipsychotic is FDA-approved specifically for treatment-resistant schizophrenia?","Aripiprazole","Clozapine","Olanzapine","Paliperidone","2","Clozapine","Clozapine is the only antipsychotic with an FDA indication specifically for treatment-resistant schizophrenia (failed ≥2 adequate antipsychotic trials)."
"psych-schizophrenia","20","medium","Elevation of which enzyme is the best indicator of rhabdomyolysis in NMS?","ALT","Creatinine kinase (CK)","LDH","Amylase","2","Creatinine kinase (CK)","Creatinine kinase (CK) is massively elevated in NMS due to muscle breakdown. Levels >1000 U/L suggest significant rhabdomyolysis."
"psych-schizophrenia","21","medium","Which of the following best describes ""thought blocking""?","Patient suddenly stops speaking mid-sentence with blank look","Rapid shift between unrelated topics","Invented words with private meaning","Repetition of words or phrases just heard","1","Patient suddenly stops speaking mid-sentence with blank look","Thought blocking is an abrupt stop in the train of thought; the patient stops speaking mid-sentence and may report their thoughts were removed."
"psych-schizophrenia","22","hard","Cannabis use in adolescence increases the risk of psychosis primarily through which mechanism?","Direct dopamine receptor antagonism","Sensitisation of the mesolimbic dopamine system by THC","Serotonin depletion","NMDA receptor upregulation","2","Sensitisation of the mesolimbic dopamine system by THC","THC (the psychoactive component) sensitises and dysregulates the mesolimbic dopamine system, lowering the threshold for psychosis in genetically vulnerable individuals."
"psych-schizophrenia","23","easy","Which statement about the prevalence of schizophrenia is correct?","Affects approximately 10% of the population","Affects approximately 1% of the population worldwide","More common in women than men","Onset is typically after age 50","2","Affects approximately 1% of the population worldwide","Schizophrenia affects approximately 1% of the world population. Men tend to have earlier onset (late teens–20s) than women (20s–30s)."
"psych-schizophrenia","24","hard","Tardive dyskinesia is most likely caused by:","Acute dopamine blockade","Dopamine receptor upregulation after chronic blockade","Cholinergic excess","Serotonin depletion","2","Dopamine receptor upregulation after chronic blockade","Chronic D2 blockade leads to receptor supersensitivity and upregulation, causing abnormal dopaminergic activity in the nigrostriatal pathway — the proposed mechanism of TD."
"psych-schizophrenia","25","easy","A patient with schizophrenia has failed two adequate trials of antipsychotics. According to NICE guidelines, what should be offered next?","Electroconvulsive therapy","Clozapine","Combined antipsychotic therapy","High-dose haloperidol","2","Clozapine","Both NICE and APA guidelines recommend clozapine after at least two failed antipsychotic trials of adequate dose and duration."
"psych-schizophrenia","26","hard","Which cognitive domain is most prominently impaired in schizophrenia and predicts functional outcomes?","Episodic memory only","Working memory and processing speed","Language comprehension","Visuospatial ability","2","Working memory and processing speed","Working memory and processing speed are the most robustly impaired cognitive domains in schizophrenia and are the strongest predictors of functional disability."
"psych-mood","1","easy","According to DSM-5, a major depressive episode requires symptoms for at least:","1 week","2 weeks","1 month","6 months","2","2 weeks","DSM-5 requires ≥5 symptoms (including depressed mood or anhedonia) for most of the day, nearly every day, for at least 2 weeks."
"psych-mood","2","easy","Which feature is required to distinguish a manic episode from hypomania?","Elevated mood","Decreased need for sleep","Marked impairment or hospitalisation","Racing thoughts","3","Marked impairment or hospitalisation","A manic episode requires marked functional impairment, psychotic features, or hospitalisation. Hypomania does not cause marked impairment."
"psych-mood","3","medium","The first-line pharmacological treatment for bipolar depression according to most guidelines is:","SSRIs as monotherapy","Quetiapine or lurasidone","Tricyclic antidepressants","Lamotrigine added to lithium","2","Quetiapine or lurasidone","Quetiapine and lurasidone have FDA approval for bipolar depression. SSRIs as monotherapy risk triggering mania and are not recommended alone."
"psych-mood","4","easy","Lithium toxicity most commonly presents with:","Bradycardia and hypotension","Coarse tremor, nausea, ataxia, and confusion","Acute liver failure","Rash and Stevens-Johnson syndrome","2","Coarse tremor, nausea, ataxia, and confusion","Early lithium toxicity: nausea, vomiting, diarrhoea, fine tremor. Moderate: coarse tremor, ataxia, confusion. Severe: seizures, coma."
"psych-mood","5","medium","A patient on lithium develops polyuria and polydipsia. This is most likely due to:","Diabetes mellitus type 2","Nephrogenic diabetes insipidus","Psychogenic polydipsia","SIADH","2","Nephrogenic diabetes insipidus","Lithium impairs renal collecting duct response to ADH, causing nephrogenic diabetes insipidus (nephrogenic DI). Managed by reducing lithium dose or switching agents."
"psych-mood","6","easy","Persistent depressive disorder (dysthymia) requires depressed mood for most of the day for at least:","2 weeks","6 months","1 year","2 years","4","2 years","DSM-5 requires ≥2 years of depressed mood (≥1 year for children/adolescents) with ≥2 associated symptoms."
"psych-mood","7","hard","Which antidepressant has the highest risk of inducing mania in a patient with undiagnosed bipolar disorder?","Bupropion","Fluoxetine","Venlafaxine","Sertraline","3","Venlafaxine","SNRIs (venlafaxine, duloxetine) carry higher risk of inducing mania/switching than SSRIs. Among SSRIs, paroxetine has the highest. Bupropion is often considered lower risk."
"psych-mood","8","easy","Seasonal affective disorder (SAD) predominantly occurs in which season and is treated with:","Summer; antipsychotics","Winter; light therapy","Spring; mood stabilisers","Autumn; benzodiazepines","2","Winter; light therapy","SAD typically manifests in autumn/winter (reduced daylight). First-line treatment is bright light therapy (10,000 lux for 30 min daily), often combined with an SSRI."
"psych-mood","9","easy","Which mood stabiliser requires thyroid function and renal function monitoring every 6 months?","Valproate","Lamotrigine","Lithium","Carbamazepine","3","Lithium","Lithium causes hypothyroidism in up to 40% and chronic kidney disease with long-term use. TFTs and eGFR should be checked every 6 months."
"psych-mood","10","medium","ECT (electroconvulsive therapy) is considered first-line in which clinical scenario?","Mild depression with insomnia","Psychotic depression with refusal to eat and high suicidality","Hypomania","Depression with anxiety","2","Psychotic depression with refusal to eat and high suicidality","ECT is first-line for severe/life-threatening depression (psychotic features, refusal to eat, imminent suicidal risk) and in pregnancy when medication is contraindicated."
"psych-mood","11","hard","The ""kindling"" hypothesis in bipolar disorder refers to:","Worsening cognitive function with each episode","Each mood episode lowering the threshold for subsequent episodes","Sensitisation to lithium over time","Escalating dosing requirements for mood stabilisers","2","Each mood episode lowering the threshold for subsequent episodes","Kindling: repeated mood episodes create neurobiological changes that lower the threshold for future episodes, making them more frequent and harder to treat."
"psych-mood","12","easy","Valproate is contraindicated in women of childbearing age primarily due to risk of:","Agranulocytosis","Neural tube defects (spina bifida)","Neonatal lupus","Ebstein anomaly","2","Neural tube defects (spina bifida)","Valproate is a potent teratogen with ~2–3% risk of spina bifida and other neural tube defects, plus significant cognitive effects on the child. Ebstein anomaly is associated with lithium."
"psych-mood","13","medium","In a depressed patient on an MAOI, consumption of tyramine-rich food can cause:","Serotonin syndrome","Hypertensive crisis","Neuroleptic malignant syndrome","Agranulocytosis","2","Hypertensive crisis","MAOIs block tyramine breakdown. Tyramine-rich food (aged cheese, red wine) causes a sympathomimetic hypertensive crisis — a potentially fatal interaction."
"psych-mood","14","hard","Which antidepressant mechanism is most associated with serotonin syndrome when combined with tramadol?","NRI action of duloxetine","Serotonin reuptake inhibition of SSRIs","Noradrenergic action of mirtazapine","Histamine blockade of TCAs","2","Serotonin reuptake inhibition of SSRIs","Tramadol inhibits serotonin reuptake. Combined with SSRIs, this doubles the serotonergic effect and can precipitate serotonin syndrome (hyperthermia, clonus, agitation)."
"psych-mood","15","easy","Bipolar I disorder requires at least one lifetime episode of:","Major depression","Mania","Hypomania","Mixed features","2","Mania","Bipolar I requires at least one manic episode. Depression is common but not required for diagnosis. Bipolar II requires hypomania + depression but never full mania."
"psych-mood","16","medium","Which symptom of bipolar disorder is most specific for identifying mixed features?","Psychomotor agitation","Insomnia","Depressed mood occurring during a manic episode","Grandiosity","3","Depressed mood occurring during a manic episode","DSM-5 mixed features specifier: manic episode with ≥3 depressive symptoms (depressed mood, anhedonia, psychomotor retardation, hopelessness, suicidal ideation)."
